source_file,timestep,order,score,p0_action,p1_action,p0_llm_calls,p1_llm_calls,p0_comm_tokens,p1_comm_tokens,p0_comm_turns,p1_comm_turns,p0_comm_digest,p1_comm_digest,p0_format_err,p1_format_err,p0_validator_err,p1_validator_err,p0_validator_msg,p1_validator_msg,p0_val_corr_tokens,p1_val_corr_tokens,p0_fmt_corr_tokens,p1_fmt_corr_tokens,p0_last_llm_say,p1_last_llm_say,p0_last_plan,p1_last_plan,p0_model,p1_model,scene_snippet
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,0,baked_potato_slices,0,wait(1),"pickup(potato, ingredient_dispenser)",1,0,578,0,3,0,Please pick up a potato from the ingredient dispenser and cut it on the chopping board. | Got it! I'm picking up a potato from the ingredient dispenser and will cut it on the ch... | [NOTHING],,0,0,1,0,"please check your plan,make sure your plan is a sequence of action seperated by ';' in one line, without any descript...",,168,0,0,0,Please pick up a potato from the ingredient dispenser and cut it on the chopping board.,Got it! I'm picking up a potato from the ingredient dispenser and will cut it on the chopping board as requested.,"Chef plan: request('pickup(potato_slices, counter)')","Assistant plan: pickup(potato, ingredient_dispenser);put_obj_in_utensil(chopping_board0);cut(chopping_board0)",gpt-4o,claude-sonnet-4-20250514,Scene 0: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [[nothing]] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [pickup(po...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,1,baked_potato_slices,0,wait(1),"pickup(potato, ingredient_dispenser)",0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,Chef plan: wait(1),,gpt-4o,claude-sonnet-4-20250514,"Scene 1: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [pickup(potato, ing..."
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,2,baked_potato_slices,0,wait(1),"pickup(potato, ingredient_dispenser)",0,0,0,0,0,0,,,0,0,1,0,"please check your plan,make sure your plan is a sequence of action seperated by ';' in one line, without any descript...",,190,0,0,0,,,Chef plan: request('put_obj_in_utensil(oven0)');request('bake(oven0)'),,gpt-4o,claude-sonnet-4-20250514,Scene 2: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [[nothing]
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,3,baked_potato_slices,0,wait(1),put_obj_in_utensil(chopping_board0),1,0,650,0,3,0,"Once you have cut the potato slices, please put them into the oven so I can start bakin... | I'm putting the potato in the chopping board and cutting it now. After I cut it, I'll p... | Once you've placed the potato slices on the counter, let me know so I can put them in t...",,0,0,1,0,"please check your plan,make sure your plan is a sequence of action seperated by ';' in one line, without any descript...",,150,0,0,0,"Once you've placed the potato slices on the counter, let me know so I can put them in the oven. [END]","I'm putting the potato in the chopping board and cutting it now. After I cut it, I'll place the potato slices on the counter so you can p...",Chef plan: request('put_obj_in_utensil(oven0)');request('bake(oven0)'),Assistant plan: put_obj_in_utensil(chopping_board0);cut(chopping_board0),gpt-4o,claude-sonnet-4-20250514,Scene 3: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [[nothing]] <Assistant> holds one potato. The planned sequence of actions (yet to be performed) for Assistant is [put_ob...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,4,baked_potato_slices,0,wait(1),put_obj_in_utensil(chopping_board0),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,Chef plan: wait(1),,gpt-4o,claude-sonnet-4-20250514,Scene 4: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds one potato. The planned sequence of actions (yet to be performed) for Assistant is [put_obj_in_uten...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,5,baked_potato_slices,0,wait(1),put_obj_in_utensil(chopping_board0),1,0,606,0,3,0,"Please place the sliced potatoes into the oven once you finish cutting, and then bake t... | I'll cut the potato as instructed. However, since the oven is in your space and I can't... | [NOTHING]",,0,0,0,0,,,0,0,0,0,"Please place the sliced potatoes into the oven once you finish cutting, and then bake them. [END]","I'll cut the potato as instructed. However, since the oven is in your space and I can't access it directly, I'll need to place the sliced...",Chef plan: wait(1),Assistant plan: put_obj_in_utensil(chopping_board0);cut(chopping_board0),gpt-4o,claude-sonnet-4-20250514,Scene 5: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds one potato. The planned sequence of actions (yet to be performed) for Assistant is [put_obj_in_uten...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,6,baked_potato_slices,0,wait(1),cut(chopping_board0),1,0,498,0,3,0,"Please place the sliced potatoes on the counter after cutting so I can put them in the ... | I'm cutting the potato now. Once it's done, I'll place the sliced potatoes on the count... | [NOTHING]",,0,0,0,0,,,0,0,0,0,Please place the sliced potatoes on the counter after cutting so I can put them in the oven. [END],"I'm cutting the potato now. Once it's done, I'll place the sliced potatoes on the counter for you to pick up and put in the oven.",Chef plan: wait(1),Assistant plan: cut(chopping_board0),gpt-4o,claude-sonnet-4-20250514,Scene 6: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [cut(chopping_board...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,7,baked_potato_slices,0,wait(1),wait(2),1,0,667,0,3,0,"Assistant, please pick up a potato from the ingredient dispenser and slice it when the ... | Chef, the chopping board will finish processing in 2 timesteps. Once I have the sliced ... | After slicing the potato, please place the slices on the counter so I can put them in t...",,0,0,0,0,,,0,0,0,0,"After slicing the potato, please place the slices on the counter so I can put them in the oven to bake. [END]","Chef, the chopping board will finish processing in 2 timesteps. Once I have the sliced potato ready, what should I do next according to t...",Chef plan: request('put_obj_in_utensil(oven0)'),Assistant plan: wait(2),gpt-4o,claude-sonnet-4-20250514,Scene 7: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] Kitchen states: ...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,8,baked_potato_slices,0,wait(1),wait(1),1,0,639,0,3,0,"Please pick up a potato from the ingredient dispenser, slice it on the chopping board, ... | The potato slices will be ready in 1 timestep. I'll pick them up and place them on the ... | [NOTHING]",,0,0,0,0,,,0,0,0,0,"Please pick up a potato from the ingredient dispenser, slice it on the chopping board, and place the sliced potato on the counter for me ...",The potato slices will be ready in 1 timestep. I'll pick them up and place them on the counter for you to bake as requested.,Chef plan: wait(1),"Assistant plan: wait(1);pickup(potato_slices, chopping_board0);place_obj_on_counter()",gpt-4o,claude-sonnet-4-20250514,Scene 8: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [wait(2)] Kitchen s...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,9,baked_potato_slices,0,wait(1),"pickup(potato_slices, chopping_board0)",1,0,498,0,3,0,"I see you are about to place the potato slices on the counter. Once you do that, I will... | Perfect! I'm picking up the potato slices now and placing them on the counter for you t... | [NOTHING]",,0,0,0,0,,,0,0,0,0,"I see you are about to place the potato slices on the counter. Once you do that, I will pick them up and put them in the oven for baking....",Perfect! I'm picking up the potato slices now and placing them on the counter for you to bake in the oven.,Chef plan: wait(1),"Assistant plan: pickup(potato_slices, chopping_board0);place_obj_on_counter()",gpt-4o,claude-sonnet-4-20250514,Scene 9: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [pickup(potato_slic...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,10,baked_potato_slices,0,wait(1),place_obj_on_counter(),1,0,496,0,3,0,Please place the potato_slices on the counter so I can bake them in the oven. | I've placed the potato slices on the counter for you. Please pick them up and bake them... | [NOTHING],,0,0,1,0,"There is no potato_slices on counter chef can visited.If assistant is already preparing ingredient for you,you should...",,126,0,0,0,Please place the potato_slices on the counter so I can bake them in the oven.,I've placed the potato slices on the counter for you. Please pick them up and bake them in the oven to complete the baked_potato_slices o...,Chef plan: wait(1),Assistant plan: place_obj_on_counter(),gpt-4o,claude-sonnet-4-20250514,"Scene 10: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [pickup(potato_slices, counter)] <Assistant> holds one potato_slices. The planned sequence of actions (yet to be perfor..."
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,11,baked_potato_slices,0,wait(1),place_obj_on_counter(),1,0,546,0,3,0,"Please place the potato slices on the counter, so I can place them in the oven to bake. | I'm placing the potato slices on the counter now so you can pick them up and put them i... | Please place the potato slices on the counter so I can put them in the oven to bake. [END]",,0,0,0,0,,,0,0,0,0,Please place the potato slices on the counter so I can put them in the oven to bake. [END],I'm placing the potato slices on the counter now so you can pick them up and put them in the oven to bake them.,Chef plan: request('place_obj_on_counter()'),Assistant plan: place_obj_on_counter(),gpt-4o,claude-sonnet-4-20250514,Scene 11: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds one potato_slices. The planned sequence of actions (yet to be performed) for Assistant is [place_o...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,12,baked_potato_slices,0,"pickup(potato_slices, counter)",wait(3),0,0,0,0,0,0,,,0,0,0,1,,"There is no object in assistant's hand, so can not place object on counter.",0,323,0,0,,,"Chef plan: pickup(potato_slices, counter);put_obj_in_utensil(oven0);bake(oven0)",Assistant plan: wait(3),gpt-4o,claude-sonnet-4-20250514,Scene 12: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [place_obj_on_coun...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,13,baked_potato_slices,0,"pickup(potato_slices, counter)",wait(3),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,gpt-4o,claude-sonnet-4-20250514,[] []
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,14,baked_potato_slices,0,"pickup(potato_slices, counter)",wait(3),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,gpt-4o,claude-sonnet-4-20250514,[] []
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,15,baked_potato_slices,0,put_obj_in_utensil(oven0),wait(5),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,Assistant plan: wait(5),gpt-4o,claude-sonnet-4-20250514,Scene 15: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds one potato_slices. The planned sequence of actions (yet to be performed) for Chef is [put_obj...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,16,baked_potato_slices,0,put_obj_in_utensil(oven0),wait(5),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,gpt-4o,claude-sonnet-4-20250514,[] []
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,17,baked_potato_slices,0,put_obj_in_utensil(oven0),wait(5),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,gpt-4o,claude-sonnet-4-20250514,[] []
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,18,baked_potato_slices,0,bake(oven0),wait(5),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,gpt-4o,claude-sonnet-4-20250514,[] []
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,19,baked_potato_slices,0,wait(2),wait(5),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,Chef plan: wait(2),,gpt-4o,claude-sonnet-4-20250514,Scene 19: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [wait(5)] Kitchen ...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,20,baked_potato_slices,0,wait(2),wait(1),0,1,0,885,0,3,,"What should I do next for the baked_potato_slices recipe? Should I prepare more potato ... | The potato slices are in the oven, and they will be ready after 1 timestep. There's no ... | Understood! I'll wait for the baking to complete. You can handle taking the baked potat...",0,0,0,0,,,0,0,0,0,"The potato slices are in the oven, and they will be ready after 1 timestep. There's no need for chopped onion in this recipe, so please d...",Understood! I'll wait for the baking to complete. You can handle taking the baked potato slices from the oven and serving them. [END],Chef plan: wait(1),Assistant plan: wait(1),gpt-4o,claude-sonnet-4-20250514,Scene 20: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] Kitchen states:...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,21,baked_potato_slices,0,wait(1),wait(1),0,1,0,585,0,3,,The baked_potato_slices are ready in oven0! Please pick them up and serve them to compl... | [NOTHING] | [NOTHING],0,0,0,0,,,0,0,0,0,,The baked_potato_slices are ready in oven0! Please pick them up and serve them to complete the order.,"Chef plan: pickup(baked_potato_slices, oven0);deliver_soup()",Assistant plan: wait(1),gpt-4o,claude-sonnet-4-20250514,Scene 21: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] Kitchen states:...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,22,baked_potato_slices,0,"pickup(baked_potato_slices, oven0)",wait(1),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,Assistant plan: wait(1),gpt-4o,claude-sonnet-4-20250514,Scene 22: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [pickup(baked_pota...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,23,baked_potato_slices,0,deliver_soup(),wait(1),0,1,0,562,0,3,,"Chef, I see you have the baked_potato_slices ready and are planning to deliver. Should ... | The order is complete, thank you for your assistance. [END] | You're welcome! Great teamwork on completing the baked_potato_slices order. [END]",0,0,0,0,,,0,0,0,0,"The order is complete, thank you for your assistance. [END]",You're welcome! Great teamwork on completing the baked_potato_slices order. [END],Chef plan: deliver_soup(),Assistant plan: wait(1),gpt-4o,claude-sonnet-4-20250514,Scene 23: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds one baked_potato_slices. The planned sequence of actions (yet to be performed) for Chef is [d...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,24,baked_potato_slices,20,deliver_soup(),wait(1),0,1,0,647,0,3,,"Chef, you're holding the finished baked_potato_slices! You should deliver them to compl... | Thank you for pointing that out. I'm delivering the baked_potato_slices now to complete... | Perfect! The order is complete. Great teamwork! [END]",0,0,0,0,,,0,0,0,0,Thank you for pointing that out. I'm delivering the baked_potato_slices now to complete our order. [END],Perfect! The order is complete. Great teamwork! [END],Chef plan: deliver_soup(),Assistant plan: wait(1),gpt-4o,claude-sonnet-4-20250514,Scene 24: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds one baked_potato_slices. The planned sequence of actions (yet to be performed) for Chef is [d...
